============================================================
[PRETRAIN START] 2026-03-20 18:11:47 gpu=1
CUDA_VISIBLE_DEVICES=1
base_cfg=config/base_reconst_L7_D512_BP3_50.yaml
stage_cfg=config/pretrain_reconst.yaml
============================================================
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] pretrain mode: reconstruction
[INFO] save_dir: runs/hpo_stage2_reconst/pretrain/pohang_hpo3_reconst_L7_D512_BP3_50
[INFO] model params: 87,723,457
[Epoch 073/150] loss=0.279244 | best=0.279244 (epoch 73) | time=71.8s
[Epoch 074/150] loss=0.280838 | best=0.279244 (epoch 73) | time=55.9s
[Epoch 075/150] loss=0.272626 | best=0.272626 (epoch 75) | time=62.7s
[Epoch 076/150] loss=0.268363 | best=0.268363 (epoch 76) | time=61.4s
[Epoch 077/150] loss=0.257130 | best=0.257130 (epoch 77) | time=61.0s
[Epoch 078/150] loss=0.256724 | best=0.256724 (epoch 78) | time=59.3s
[Epoch 079/150] loss=0.247897 | best=0.247897 (epoch 79) | time=57.7s
[Epoch 080/150] loss=0.250381 | best=0.247897 (epoch 79) | time=46.1s
[Epoch 081/150] loss=0.241433 | best=0.241433 (epoch 81) | time=53.9s
[Epoch 082/150] loss=0.234000 | best=0.234000 (epoch 82) | time=54.3s
[Epoch 083/150] loss=0.237045 | best=0.234000 (epoch 82) | time=46.3s
[Epoch 084/150] loss=0.237123 | best=0.234000 (epoch 82) | time=46.5s
[Epoch 085/150] loss=0.221134 | best=0.221134 (epoch 85) | time=54.4s
[Epoch 086/150] loss=0.218109 | best=0.218109 (epoch 86) | time=54.6s
[Epoch 087/150] loss=0.217555 | best=0.217555 (epoch 87) | time=53.1s
[Epoch 088/150] loss=0.209359 | best=0.209359 (epoch 88) | time=54.5s
[Epoch 089/150] loss=0.209677 | best=0.209359 (epoch 88) | time=47.0s
[Epoch 090/150] loss=0.202397 | best=0.202397 (epoch 90) | time=55.1s
[Epoch 091/150] loss=0.199815 | best=0.199815 (epoch 91) | time=56.1s
[Epoch 092/150] loss=0.199143 | best=0.199143 (epoch 92) | time=57.1s
[Epoch 093/150] loss=0.198683 | best=0.198683 (epoch 93) | time=57.9s
[Epoch 094/150] loss=0.202539 | best=0.198683 (epoch 93) | time=46.3s
[Epoch 095/150] loss=0.197499 | best=0.197499 (epoch 95) | time=54.9s
[Epoch 096/150] loss=0.189937 | best=0.189937 (epoch 96) | time=53.5s
[Epoch 097/150] loss=0.191094 | best=0.189937 (epoch 96) | time=45.9s
[Epoch 098/150] loss=0.187920 | best=0.187920 (epoch 98) | time=53.7s
[Epoch 099/150] loss=0.183202 | best=0.183202 (epoch 99) | time=54.7s
[Epoch 100/150] loss=0.188353 | best=0.183202 (epoch 99) | time=46.3s
[Epoch 101/150] loss=0.179778 | best=0.179778 (epoch 101) | time=57.4s
[Epoch 102/150] loss=0.178633 | best=0.178633 (epoch 102) | time=56.8s
[Epoch 103/150] loss=0.180497 | best=0.178633 (epoch 102) | time=46.0s
[Epoch 104/150] loss=0.167908 | best=0.167908 (epoch 104) | time=57.0s
[Epoch 105/150] loss=0.171801 | best=0.167908 (epoch 104) | time=50.8s
[Epoch 106/150] loss=0.175080 | best=0.167908 (epoch 104) | time=50.6s
[Epoch 107/150] loss=0.172563 | best=0.167908 (epoch 104) | time=52.8s
[Epoch 108/150] loss=0.168494 | best=0.167908 (epoch 104) | time=48.2s
[Epoch 109/150] loss=0.170990 | best=0.167908 (epoch 104) | time=46.2s
[Epoch 110/150] loss=0.169193 | best=0.167908 (epoch 104) | time=46.3s
[Epoch 111/150] loss=0.164581 | best=0.164581 (epoch 111) | time=54.7s
[Epoch 112/150] loss=0.165841 | best=0.164581 (epoch 111) | time=46.5s
[Epoch 113/150] loss=0.160518 | best=0.160518 (epoch 113) | time=54.8s
[Epoch 114/150] loss=0.157571 | best=0.157571 (epoch 114) | time=54.6s
[Epoch 115/150] loss=0.155457 | best=0.155457 (epoch 115) | time=55.7s
[Epoch 116/150] loss=0.156553 | best=0.155457 (epoch 115) | time=47.0s
[Epoch 117/150] loss=0.156134 | best=0.155457 (epoch 115) | time=47.0s
[Epoch 118/150] loss=0.152366 | best=0.152366 (epoch 118) | time=61.5s
[Epoch 119/150] loss=0.150608 | best=0.150608 (epoch 119) | time=56.2s
[Epoch 120/150] loss=0.147515 | best=0.147515 (epoch 120) | time=56.0s
[Epoch 121/150] loss=0.146874 | best=0.146874 (epoch 121) | time=53.9s
[Epoch 122/150] loss=0.151548 | best=0.146874 (epoch 121) | time=46.1s
[Epoch 123/150] loss=0.146032 | best=0.146032 (epoch 123) | time=53.5s
[Epoch 124/150] loss=0.144340 | best=0.144340 (epoch 124) | time=53.7s
[Epoch 125/150] loss=0.147083 | best=0.144340 (epoch 124) | time=45.6s
[Epoch 126/150] loss=0.146126 | best=0.144340 (epoch 124) | time=46.0s
[Epoch 127/150] loss=0.143732 | best=0.143732 (epoch 127) | time=56.0s
[Epoch 128/150] loss=0.146072 | best=0.143732 (epoch 127) | time=49.6s
