============================================================
[START] 2026-03-19 13:52:40 worker=4 gpu=5 cfg=config/base_hpo3_reconst_13.yaml mode=full
============================================================
[INFO] CUDA_VISIBLE_DEVICES=5
[INFO] MODE=full
[INFO] BASE_CFG=config/base_hpo3_reconst_13.yaml
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] pretrain mode: reconstruction
[INFO] save_dir: runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D256_BP3_50
[INFO] model params: 21,916,865
[Epoch 072/150] loss=0.094791 | best=0.094791 (epoch 72) | time=57.3s
[Epoch 073/150] loss=0.099209 | best=0.094791 (epoch 72) | time=69.6s
[Epoch 074/150] loss=0.097780 | best=0.094791 (epoch 72) | time=81.3s
[Epoch 075/150] loss=0.089929 | best=0.089929 (epoch 75) | time=42.9s
[Epoch 076/150] loss=0.089550 | best=0.089550 (epoch 76) | time=276.9s
[Epoch 077/150] loss=0.089713 | best=0.089550 (epoch 76) | time=470.7s
[Epoch 078/150] loss=0.088993 | best=0.088993 (epoch 78) | time=448.8s
[Epoch 079/150] loss=0.089493 | best=0.088993 (epoch 78) | time=155.5s
[Epoch 080/150] loss=0.089607 | best=0.088993 (epoch 78) | time=139.7s
[Epoch 081/150] loss=0.083860 | best=0.083860 (epoch 81) | time=184.3s
[Epoch 082/150] loss=0.089607 | best=0.083860 (epoch 81) | time=112.6s
[Epoch 083/150] loss=0.083473 | best=0.083473 (epoch 83) | time=193.7s
[Epoch 084/150] loss=0.080638 | best=0.080638 (epoch 84) | time=200.0s
[Epoch 085/150] loss=0.082837 | best=0.080638 (epoch 84) | time=99.8s
[Epoch 086/150] loss=0.079899 | best=0.079899 (epoch 86) | time=80.4s
[Epoch 087/150] loss=0.082180 | best=0.079899 (epoch 86) | time=63.6s
[Epoch 088/150] loss=0.079097 | best=0.079097 (epoch 88) | time=83.0s
[Epoch 089/150] loss=0.074318 | best=0.074318 (epoch 89) | time=42.1s
[Epoch 090/150] loss=0.079953 | best=0.074318 (epoch 89) | time=38.2s
[Epoch 091/150] loss=0.077829 | best=0.074318 (epoch 89) | time=37.3s
[Epoch 092/150] loss=0.073776 | best=0.073776 (epoch 92) | time=44.8s
[Epoch 093/150] loss=0.071677 | best=0.071677 (epoch 93) | time=54.5s
[Epoch 094/150] loss=0.077519 | best=0.071677 (epoch 93) | time=45.8s
[Epoch 095/150] loss=0.076084 | best=0.071677 (epoch 93) | time=61.4s
[Epoch 096/150] loss=0.069714 | best=0.069714 (epoch 96) | time=74.3s
[Epoch 097/150] loss=0.076862 | best=0.069714 (epoch 96) | time=40.0s
[Epoch 098/150] loss=0.071744 | best=0.069714 (epoch 96) | time=57.4s
[Epoch 099/150] loss=0.072145 | best=0.069714 (epoch 96) | time=45.3s
[Epoch 100/150] loss=0.069312 | best=0.069312 (epoch 100) | time=48.4s
[Epoch 101/150] loss=0.071716 | best=0.069312 (epoch 100) | time=50.5s
[Epoch 102/150] loss=0.063770 | best=0.063770 (epoch 102) | time=74.5s
[Epoch 103/150] loss=0.065630 | best=0.063770 (epoch 102) | time=58.5s
[Epoch 104/150] loss=0.067757 | best=0.063770 (epoch 102) | time=48.4s
[Epoch 105/150] loss=0.073682 | best=0.063770 (epoch 102) | time=70.5s
[Epoch 106/150] loss=0.068427 | best=0.063770 (epoch 102) | time=45.7s
[Epoch 107/150] loss=0.068096 | best=0.063770 (epoch 102) | time=45.5s
[Epoch 108/150] loss=0.066138 | best=0.063770 (epoch 102) | time=49.3s
[Epoch 109/150] loss=0.060957 | best=0.060957 (epoch 109) | time=93.9s
[Epoch 110/150] loss=0.063440 | best=0.060957 (epoch 109) | time=63.0s
[Epoch 111/150] loss=0.068368 | best=0.060957 (epoch 109) | time=40.5s
[Epoch 112/150] loss=0.063241 | best=0.060957 (epoch 109) | time=75.6s
[Epoch 113/150] loss=0.062672 | best=0.060957 (epoch 109) | time=45.1s
[Epoch 114/150] loss=0.063707 | best=0.060957 (epoch 109) | time=73.0s
[Epoch 115/150] loss=0.060023 | best=0.060023 (epoch 115) | time=105.6s
[Epoch 116/150] loss=0.058229 | best=0.058229 (epoch 116) | time=114.9s
[Epoch 117/150] loss=0.056562 | best=0.056562 (epoch 117) | time=92.7s
[Epoch 118/150] loss=0.055894 | best=0.055894 (epoch 118) | time=82.6s
[Epoch 119/150] loss=0.061328 | best=0.055894 (epoch 118) | time=67.2s
[Epoch 120/150] loss=0.061183 | best=0.055894 (epoch 118) | time=67.3s
